24.02.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
İL PLAKA NO;İL ADI;ADANA;ADIYAMAN;AFYONKARAHİSAR;AĞRI;AMASYA;ANKARA;ANTALYA;ARTVİN;AYDIN;BALIKESİR;BİLECİK;BİNGÖL;BİTLİS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENİZLİ;DİYARBAKIR;EDİRNE;ELAZIĞ;ERZİNCAN;ERZURUM;ESKİŞEHİR;GAZİANTEP;GİRESUN;GÜMÜŞHANE;HAKKARİ;HATAY;ISPARTA;MERSİN;İSTANBUL;İZMİR;KARS;KASTAMONU;KAYSERİ;KIRKLARELİ;KIRŞEHİR;KOCAELİ;KONYA;KÜTAHYA;MALATYA;MANİSA;KAHRAMANMARAŞ;MARDİN;MUĞLA;MUŞ;NEVŞEHİR;NİĞDE;ORDU;RİZE;SAKARYA;SAMSUN;SİİRT;SİNOP;SİVAS;TEKİRDAĞ;TOKAT;TRABZON;TUNCELİ;ŞANLIURFA;UŞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ŞIRNAK;BARTIN;ARDAHAN;IĞDIR;YALOVA;KARABÜK;KİLİS;OSMANİYE;DÜZCE
20;DENİZLİ;761;1098;221;1505;816;476;226;1445;124;285;406;1269;1460;616;167;435;473;619;725;;1280;702;1131;1140;1325;355;977;1086;1248;1667;957;169;692;649;226;1527;724;696;716;646;539;408;296;1034;206;954;1310;150;1379;617;643;1044;1297;501;897;1467;895;891;652;866;1218;1263;1116;153;1594;700;682;541;1264;522;559;1380;1479;738;1546;1649;501;669;1012;850;570
21;DİYARBAKIR;537;206;1098;441;703;898;1083;509;1399;1422;1199;141;204;1086;1167;1270;1550;929;770;1280;;1581;152;407;315;1119;321;677;516;527;515;1138;607;1349;1425;520;957;581;1558;715;1239;887;1194;246;1405;368;94;1408;249;664;713;720;564;1201;832;187;957;490;1480;594;610;280;177;1210;363;710;1162;740;440;829;824;99;293;1138;545;540;1304;1073;375;444;1133
22;EDİRNE;1183;1414;682;1641;906;685;922;1516;667;419;480;1570;1761;495;826;428;231;727;843;702;1581;;1432;1276;1461;555;1330;1157;1319;2059;1379;828;1176;232;546;1663;741;998;67;866;345;908;586;1335;556;1255;1663;766;1679;958;1039;1114;1368;380;968;1768;921;1125;148;1016;1289;1399;1469;642;1873;897;561;915;1358;1021;757;1681;1833;649;1625;1785;410;629;1394;1272;448
23;ELAZIĞ;494;283;949;499;535;749;1051;511;1250;1273;1050;141;332;937;1018;1121;1401;780;602;1131;152;1432;;267;317;970;338;558;397;630;472;989;564;1200;1276;522;789;432;1409;566;1090;738;1045;97;1256;319;247;1259;251;515;564;601;560;1052;664;339;789;322;1331;426;491;140;318;1061;466;542;1013;591;395;739;675;252;445;970;546;640;1155;905;402;401;984
24;ERZİNCAN;676;546;955;370;375;690;1059;376;1259;1214;996;272;463;781;1026;1052;1331;620;465;1140;407;1276;267;;191;933;602;297;136;798;748;997;747;1044;1282;393;625;451;1252;575;933;746;1012;361;1262;575;501;1267;381;523;572;340;299;896;451;558;593;253;1174;309;229;128;573;1067;603;476;840;599;157;747;620;467;654;806;412;514;998;741;665;677;827
25;ERZURUM;807;521;1140;182;560;876;1244;194;1444;1399;1181;177;351;966;1212;1237;1517;806;651;1325;315;1461;317;191;;1118;652;362;201;610;786;1183;878;1229;1467;205;810;636;1438;760;1118;932;1197;411;1447;633;410;1453;270;709;757;405;249;1081;551;447;712;438;1360;494;294;239;492;1252;415;661;1026;785;125;933;805;369;543;991;230;326;1184;926;691;715;1013
26;ESKİŞEHİR;690;952;140;1298;573;233;421;1202;474;303;80;1107;1298;290;300;152;431;376;482;355;1119;555;970;933;1118;;868;843;1005;1596;886;301;683;323;412;1320;482;536;532;403;213;337;79;872;392;792;1200;482;1217;496;555;801;1054;176;654;1306;652;684;454;623;975;1056;1006;217;1433;457;356;442;1057;451;316;1218;1370;444;1339;1442;219;426;931;779;244
27;GAZİANTEP;216;151;794;762;576;647;763;846;1096;1118;948;476;525;835;863;1020;1299;678;613;977;321;1330;338;602;652;868;;689;754;691;194;835;286;1098;1122;857;784;330;1307;464;988;574;891;241;1102;78;333;1071;586;413;423;681;884;950;705;499;829;402;1229;466;806;475;139;906;684;529;912;484;730;509;574;412;502;930;881;860;1053;861;63;123;882
28;GİRESUN;716;698;865;542;320;601;1092;359;1205;1095;877;539;713;662;1031;933;1212;522;361;1086;677;1157;558;297;362;843;689;;162;969;787;993;786;925;1192;564;485;490;1133;582;814;779;922;532;1172;614;772;1213;632;562;611;43;211;777;189;809;350;292;1055;257;132;420;781;977;774;469;698;690;237;787;530;731;905;665;468;686;879;597;753;716;708
29;GÜMÜŞHANE;780;677;1027;380;436;763;1163;312;1367;1257;1039;378;552;824;1130;1095;1374;684;523;1248;516;1319;397;136;201;1005;754;162;;808;851;1101;850;1087;1354;403;647;554;1295;678;976;850;1084;491;1334;678;611;1375;471;627;676;205;164;939;351;648;512;356;1217;370;94;259;703;1139;613;580;860;703;76;851;692;570;744;827;422;524;1041;759;817;780;870
