24.02.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
İL PLAKA NO;İL ADI;ADANA;ADIYAMAN;AFYONKARAHİSAR;AĞRI;AMASYA;ANKARA;ANTALYA;ARTVİN;AYDIN;BALIKESİR;BİLECİK;BİNGÖL;BİTLİS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENİZLİ;DİYARBAKIR;EDİRNE;ELAZIĞ;ERZİNCAN;ERZURUM;ESKİŞEHİR;GAZİANTEP;GİRESUN;GÜMÜŞHANE;HAKKARİ;HATAY;ISPARTA;MERSİN;İSTANBUL;İZMİR;KARS;KASTAMONU;KAYSERİ;KIRKLARELİ;KIRŞEHİR;KOCAELİ;KONYA;KÜTAHYA;MALATYA;MANİSA;KAHRAMANMARAŞ;MARDİN;MUĞLA;MUŞ;NEVŞEHİR;NİĞDE;ORDU;RİZE;SAKARYA;SAMSUN;SİİRT;SİNOP;SİVAS;TEKİRDAĞ;TOKAT;TRABZON;TUNCELİ;ŞANLIURFA;UŞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ŞIRNAK;BARTIN;ARDAHAN;IĞDIR;YALOVA;KARABÜK;KİLİS;OSMANİYE;DÜZCE
52;ORDU;707;728;823;584;278;558;1050;402;1162;1053;835;582;756;620;988;891;1170;480;319;1044;720;1114;601;340;405;801;681;43;205;1012;779;951;777;882;1150;607;443;482;1091;540;772;737;880;562;1130;605;815;1171;675;614;603;;254;734;147;852;307;307;1013;215;175;463;811;935;817;427;656;648;280;848;488;774;948;623;511;728;837;555;744;707;666
53;RİZE;911;770;1076;429;531;811;1303;148;1415;1306;1088;426;600;873;1241;1144;1423;733;572;1297;564;1368;560;299;249;1054;884;211;164;857;982;1204;981;1135;1403;344;696;685;1344;793;1025;990;1133;654;1383;809;659;1424;519;758;806;254;;988;400;696;560;487;1266;468;79;422;741;1188;661;680;909;834;239;982;741;618;792;876;257;477;1090;808;948;911;919
54;SAKARYA;803;1034;302;1261;526;305;567;1136;620;318;100;1190;1381;115;446;156;436;347;463;501;1201;380;1052;896;1081;176;950;777;939;1679;999;448;796;148;491;1283;361;618;357;486;37;528;206;955;455;875;1283;629;1299;578;659;734;988;;588;1388;541;745;279;636;909;1019;1089;344;1493;517;181;535;978;641;377;1301;1453;269;1245;1405;103;249;1014;892;68
55;SAMSUN;753;752;676;731;131;411;903;548;1016;906;688;718;909;473;842;744;1023;333;172;897;832;968;664;451;551;654;705;189;351;1158;802;804;746;736;1003;753;296;453;944;393;625;590;733;586;983;629;927;1024;828;467;546;147;400;588;;1019;161;350;866;241;321;575;835;788;963;280;509;501;426;702;341;932;1125;476;657;875;690;408;768;731;519
56;SİİRT;715;384;1285;333;890;1085;1262;641;1586;1609;1386;288;96;1273;1354;1457;1737;1116;957;1467;187;1768;339;558;447;1306;499;809;648;290;694;1325;785;1536;1612;547;1144;768;1745;902;1426;1074;1381;433;1592;547;235;1595;177;851;900;852;696;1388;1019;;1144;677;1667;781;741;431;355;1397;255;897;1349;927;572;1008;1011;87;100;1325;580;431;1491;1260;554;623;1320
57;SİNOP;866;877;674;891;256;407;961;709;1014;859;641;859;1050;426;840;697;977;276;262;895;957;921;789;593;712;652;829;350;512;1319;927;802;859;689;1001;914;181;543;898;490;578;630;747;711;981;754;1052;1022;969;582;663;307;560;541;161;1144;;474;820;365;482;716;960;786;1124;370;393;599;587;742;381;1057;1250;360;818;1035;644;292;893;856;473
58;SİVAS;428;410;706;618;221;442;811;624;1010;987;765;479;670;630;778;836;1116;442;287;891;490;1125;322;253;438;684;402;292;356;968;499;749;498;892;1033;640;474;202;1101;326;782;498;763;244;1013;326;585;1019;589;275;324;307;487;745;350;677;474;;1023;111;408;376;493;818;804;228;690;351;377;499;371;590;783;655;659;762;847;590;465;428;676
59;TEKİRDAĞ;1081;1313;581;1539;805;584;846;1414;617;369;379;1468;1659;394;725;379;181;626;742;652;1480;148;1331;1174;1360;454;1229;1055;1217;1957;1278;726;1074;131;496;1562;640;897;124;764;243;807;484;1234;506;1154;1562;716;1578;857;937;1013;1266;279;866;1667;820;1023;;914;1187;1297;1368;592;1772;796;460;813;1257;920;655;1579;1731;548;1524;1683;309;527;1292;1171;347
60;TOKAT;492;513;645;674;112;380;872;616;984;926;703;582;773;521;810;775;1054;333;178;866;594;1016;426;309;494;623;466;257;370;1071;564;772;562;784;972;696;365;267;992;332;673;559;702;348;952;391;688;993;692;339;388;215;468;636;241;781;365;111;914;;389;432;596;757;908;219;581;415;391;563;309;693;886;546;715;818;738;481;529;492;567
61;TRABZON;832;770;997;474;452;733;1224;227;1337;1227;1009;471;646;794;1163;1065;1344;654;493;1218;610;1289;491;229;294;975;806;132;94;902;903;1125;902;1057;1324;422;617;606;1265;714;946;911;1054;584;1304;730;704;1345;564;679;728;175;79;909;321;741;482;408;1187;389;;352;796;1109;707;601;830;755;169;903;662;663;837;797;336;556;1011;729;869;832;840
62;TUNCELİ;630;419;1078;418;498;813;1182;424;1382;1337;1119;145;336;904;1149;1175;1454;743;589;1263;280;1399;140;128;239;1056;475;420;259;633;609;1121;700;1167;1405;441;748;574;1375;698;1056;869;1135;233;1385;455;374;1390;254;646;695;463;422;1019;575;431;716;376;1297;432;352;;445;1190;470;599;964;722;256;870;743;340;527;929;460;562;1121;864;538;537;950
63;ŞANLIURFA;354;111;933;618;706;786;901;686;1234;1257;1087;318;381;974;1002;1158;1438;817;752;1116;177;1469;318;573;492;1006;139;781;703;545;333;973;425;1237;1260;697;923;468;1446;603;1126;712;1030;269;1240;217;188;1210;425;552;562;811;741;1089;835;355;960;493;1368;596;796;445;;1045;540;667;1050;623;617;647;712;268;357;1069;721;716;1191;1000;193;262;1021
64;UŞAK;690;1027;112;1432;707;367;290;1336;272;224;249;1198;1389;459;169;320;418;510;616;153;1210;642;1061;1067;1252;217;906;977;1139;1597;886;170;683;492;215;1454;615;625;656;537;381;338;138;964;195;884;1239;280;1308;546;573;935;1188;344;788;1397;786;818;592;757;1109;1190;1045;;1524;591;525;470;1191;451;450;1309;1409;629;1473;1576;387;560;942;779;412
65;VAN;900;569;1412;233;972;1212;1447;558;1713;1736;1513;327;159;1378;1481;1585;1864;1218;1063;1594;363;1873;466;603;415;1433;684;774;613;195;878;1452;970;1641;1739;357;1223;895;1850;1029;1531;1201;1509;560;1719;731;440;1722;216;978;1027;817;661;1493;963;255;1124;804;1772;908;707;470;540;1524;;1024;1438;1054;537;1202;1138;292;351;1403;444;222;1596;1338;739;807;1425
66;YOZGAT;489;613;479;841;199;214;681;828;818;760;537;699;890;402;644;609;888;245;108;700;710;897;542;476;661;457;529;469;580;1188;626;606;482;665;806;864;299;197;874;113;555;368;536;464;786;453;805;827;809;205;286;427;680;517;280;897;370;228;796;219;601;599;667;591;1024;;478;222;600;433;143;810;1003;497;882;985;620;428;592;555;449
67;ZONGULDAK;764;996;483;1205;471;266;748;1057;801;499;281;1107;1298;158;627;337;617;292;408;682;1162;561;1013;840;1026;356;912;698;860;1633;960;629;757;329;672;1228;213;580;538;447;218;531;387;916;636;836;1244;810;1217;539;620;656;909;181;509;1349;393;690;460;581;830;964;1050;525;1438;478;;496;935;642;338;1262;1414;88;1166;1349;284;101;975;853;113
68;AKSARAY;268;573;358;964;420;224;460;970;659;682;522;728;919;420;427;594;873;322;330;541;740;915;591;599;785;442;484;690;703;1175;464;398;261;683;685;987;428;155;891;108;572;147;455;494;665;414;817;668;838;76;113;648;834;535;501;927;599;351;813;415;755;722;623;470;1054;222;496;;724;212;218;839;986;515;1006;1108;637;446;520;357;466
69;BAYBURT;801;674;1079;304;457;815;1183;310;1383;1296;1078;302;476;863;1151;1134;1414;703;548;1264;440;1358;395;157;125;1057;730;237;76;732;872;1122;871;1126;1406;327;722;575;1335;699;1015;871;1136;489;1386;699;535;1392;395;648;696;280;239;978;426;572;587;377;1257;391;169;256;617;1191;537;600;935;724;;872;744;494;668;902;346;448;1080;834;793;801;910
70;KARAMAN;292;630;339;1112;621;370;376;1118;640;663;546;876;1034;566;408;617;854;465;530;522;829;1021;739;747;933;451;509;787;851;1199;488;379;233;789;666;1135;571;303;998;320;679;118;436;642;646;490;841;649;986;256;175;848;982;641;702;1008;742;499;920;563;903;870;647;451;1202;433;642;212;872;;361;921;1011;661;1154;1256;685;592;544;382;613
71;KIRIKKALE;485;658;338;985;260;74;562;889;678;619;397;813;1004;262;504;468;748;104;169;559;824;757;675;620;805;316;574;530;692;1302;671;466;479;525;665;1007;210;242;733;109;414;249;395;578;645;498;906;687;923;201;282;488;741;377;341;1011;381;371;655;309;662;743;712;450;1138;143;338;218;744;361;;924;1076;357;1026;1128;479;288;637;575;308
72;BATMAN;628;297;1197;370;803;998;1175;563;1498;1521;1298;195;133;1186;1266;1370;1649;1028;870;1380;99;1681;252;467;369;1218;412;731;570;456;607;1237;698;1448;1524;585;1056;680;1657;815;1338;986;1294;346;1504;460;148;1507;214;763;812;774;618;1301;932;87;1057;590;1579;693;663;340;268;1309;292;810;1262;839;494;921;924;;183;1237;599;469;1403;1172;467;535;1232
73;ŞIRNAK;718;464;1297;429;996;1150;1265;737;1598;1621;1450;384;192;1338;1366;1522;1801;1180;1063;1479;293;1833;445;654;543;1370;502;905;744;190;697;1337;788;1600;1624;643;1286;832;1809;967;1490;1076;1393;539;1604;580;198;1574;273;915;926;948;792;1453;1125;100;1250;783;1731;886;837;527;357;1409;351;1003;1414;986;668;1011;1076;183;;1432;676;527;1555;1364;557;626;1384
74;BARTIN;783;1014;517;1171;436;285;804;1024;856;587;369;1072;1263;176;682;425;705;278;373;738;1138;649;970;806;991;444;930;665;827;1598;979;645;776;417;760;1193;181;598;625;466;306;550;475;892;723;855;1232;865;1182;558;638;623;876;269;476;1325;360;655;548;546;797;929;1069;629;1403;497;88;515;902;661;357;1237;1432;;1133;1315;371;86;993;872;201
75;ARDAHAN;1037;751;1361;305;781;1097;1465;117;1665;1563;1345;407;484;1130;1433;1401;1681;990;829;1546;545;1625;546;412;230;1339;881;468;422;639;1015;1404;1107;1393;1688;89;953;857;1602;981;1282;1153;1418;640;1668;862;639;1674;403;930;978;511;257;1245;657;580;818;659;1524;715;336;460;721;1473;444;882;1166;1006;346;1154;1026;599;676;1133;;222;1347;1065;920;944;1177
76;IĞDIR;1076;746;1464;144;884;1199;1568;336;1767;1723;1505;501;336;1290;1535;1561;1840;1129;974;1649;540;1785;640;514;326;1442;860;686;524;417;1055;1506;1147;1552;1791;135;1134;960;1761;1084;1442;1255;1521;734;1771;908;616;1776;390;1032;1081;728;477;1405;875;431;1035;762;1683;818;556;562;716;1576;222;985;1349;1108;448;1256;1128;469;527;1315;222;;1507;1250;915;984;1336
77;YALOVA;905;1137;346;1363;628;407;610;1238;507;218;125;1292;1483;217;489;69;335;450;566;501;1304;410;1155;998;1184;219;1053;879;1041;1781;1101;491;898;178;391;1386;464;721;387;588;65;572;249;1058;354;978;1386;605;1402;681;761;837;1090;103;690;1491;644;847;309;738;1011;1121;1191;387;1596;620;284;637;1080;685;479;1403;1555;371;1347;1507;;351;1116;994;171
78;KARABÜK;714;945;448;1106;371;216;735;956;787;567;349;1007;1198;134;613;405;684;192;308;669;1073;629;905;741;926;426;861;597;759;1533;910;576;707;396;740;1128;113;529;605;397;286;481;454;826;703;786;1167;796;1117;489;570;555;808;249;408;1260;292;590;527;481;729;864;1000;560;1338;428;101;446;834;592;288;1172;1364;86;1065;1250;351;;925;803;180
79;KİLİS;251;210;830;817;639;711;798;885;1131;1154;1011;517;580;899;899;1083;1345;741;676;1012;375;1394;402;665;691;931;63;753;817;745;146;870;322;1161;1157;895;847;393;1370;528;1051;609;926;304;1137;141;388;1107;624;476;459;744;948;1014;768;554;893;465;1292;529;869;538;193;942;739;592;975;520;793;544;637;467;557;993;920;915;1116;925;;159;945
80;OSMANİYE;89;244;667;885;602;581;636;909;968;991;874;539;648;777;736;945;1183;679;640;850;444;1272;401;677;715;779;123;716;780;814;127;707;159;1040;994;919;785;356;1249;466;929;446;764;304;974;105;456;944;648;376;296;707;911;892;731;623;856;428;1171;492;832;537;262;779;807;555;853;357;801;382;575;535;626;872;944;984;994;803;159;;824
81;DÜZCE;734;966;371;1192;458;237;636;1067;688;387;168;1122;1312;47;514;225;504;279;395;570;1133;448;984;827;1013;244;882;708;870;1610;931;516;727;216;560;1215;293;550;425;417;106;501;274;887;523;807;1215;697;1231;510;590;666;919;68;519;1320;473;676;347;567;840;950;1021;412;1425;449;113;466;910;613;308;1232;1384;201;1177;1336;171;180;945;824;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
